"estado";"cidade";"bairro";"cep";"logradouro";"latitude";"longitude";"altitude";"ddd";"cod_IBGE"
"RJ";"Niterói";"Vital Brazil";"24230410";"Rua Maestro José Botelho";-22,9058879;-43,0956582;12,2;21;"3303302"
"RJ";"Niterói";"Icaraí";"24230540";"Rua Joaquim Távora";-22,9114364;-43,1054279;26;21;"3303302"
"RJ";"Niterói";"Icaraí";"24230541";"Rua Joaquim Távora";-22,9114364;-43,1054279;26;21;"3303302"
"RJ";"Niterói";"Santa Rosa";"24240000";"Rua Doutor Paulo César";-22,8987588;-43,0985184;16,5;21;"3303302"
"RJ";"Niterói";"Santa Rosa";"24240181";"Rua Noronha Torrezão";-22,8987588;-43,0985184;16,5;21;"3303302"
"RJ";"Niterói";"Santa Rosa";"24240182";"Rua Noronha Torrezão";-22,8987588;-43,0985184;16,5;21;"3303302"
"RJ";"Niterói";"Santa Rosa";"24240210";"Rua Vereador Duque Estrada";-22,8987588;-43,0985184;16,5;21;"3303302"
"RJ";"Niterói";"Santa Rosa";"24240460";"Rua Siqueira Campos";-22,9003542;-43,0980914;22,7;21;"3303302"
"RJ";"Niterói";"Santa Rosa";"24240480";"Rua Padre Emílio Miotti";-22,9003793;-43,0965525;36,9;21;"3303302"
"RJ";"Niterói";"Santa Rosa";"24240660";"Rua Doutor Sardinha";-22,8988932;-43,0982543;16,5;21;"3303302"
"RJ";"Niterói";"Santa Rosa";"24240670";"Rua Professor Otacílio";-22,8986844;-43,0995659;16,1;21;"3303302"
"RJ";"Niterói";"Santa Rosa";"24240680";"Rua Nossa Senhora Auxiliadora";-22,8993334;-43,0975068;18,8;21;"3303302"
"RJ";"Niterói";"Santa Rosa";"24240971";"Rua Noronha Torrezão 157";-22,8960953;-43,1003509;23;21;"3303302"
"RJ";"Niterói";"Santa Rosa";"24241000";"Rua Doutor Mário Viana";-22,8987588;-43,0985184;16,5;21;"3303302"
"RJ";"Niterói";"Santa Rosa";"24241030";"Travessa Santa Rosa do Viterbo";-22,9033031;-43,0942644;20,3;21;"3303302"
"RJ";"Niterói";"Largo da Batalha";"24310340";"Estrada Francisco da Cruz Nunes";-22,9086603;-43,0636761;107,1;21;"3303302"
